,tweet_id,lat,lon,content,location
837667447436115969,837667447436115969,,,"RT @BostonSparks: In the last 12 hours A10 and A11 have responded to a 3rd Alarm in Newton, 3rd Alarm in Boston, 2nd Alarm in... https://t.…",Waltham Massachusetts
837667446987325440,837667446987325440,,,RT @uhmshannon: https://t.co/sUnuLJN2cp,boston
837667443866742784,837667443866742784,,,RT @ThatNigga_Nicee: Lmao I be saying the same shit while I'm in the process of rolling a blunt 😂😂😂 https://t.co/LhidzDTQTG,"Boston, MA"
837667443342442496,837667443342442496,,,Hypocrite.. oh wait in Jesus name I drive out hypocrisy https://t.co/hEK4WjS4zj,"Winchester, MA"
837667442038026240,837667442038026240,,,weei​.com &gt;&gt; David Ortiz reportedly undecided about announcing Red Sox games this season https://t.co/rVOGUtBSOT,"Boston, MA"
837667534752997376,837667534752997376,,,RT @OnlyInBOS: One month from today is @RedSox #OpeningDay. Let that sink in... https://t.co/ca0JPSVpvB,
837667534044295169,837667534044295169,,,"@ComplicitOwl I'm in Boston for the day, any local tips? I will ditch this sports conference in a second to get a Switch",Boston
837667531770970113,837667531770970113,,,RT @Digitalmstream: How to Improve Your Social Engagement Without Ads via @Strong_Social https://t.co/kk8V1LaNTv #DigitalMarketing #socialm…,"Safety Harbor, FL"
837667530449760259,837667530449760259,,,Everyone at IC! Come see the preview for my Senior Showcase today at 5pm in the Hoerner at Dillingham! Let the BFAs of 2017 entertain you!,"Boston, MA"
837667529937989632,837667529937989632,,,Love love love...dare I say it again...LOVE! #newsong #lovethissong #listentothis #goodmusic… https://t.co/Nkj4BC8FnA,"Boston, MA"
837667627237576704,837667627237576704,,,"RT @ValaAfshar: You will not regret:

1 quality time with loved ones
2 sharing your knowledge 
3 work that brings you joy 
4 living a recom…",Tampa
837667625668853760,837667625668853760,,,@JesseLarkin DAMMIT,"Boston, MA"
837667624930721794,837667624930721794,,,"RT @OnlyInBOS: 16 years ago today, Chelsea's Johnny Ruiz defeated Evander Holyfield to become 1st Latino WBA heavyweight champion. https://…",TV| NESN|Worldwide syndication
837667624305704962,837667624305704962,,,"RT @OnlyInBOS: Hi.

My name is Ivan.

I'm a 10 month old kitten.

My legs are deformed but I can still love you.

I'm @MspcaAngell: adoptio…",
837667623966031876,837667623966031876,,,#draintheswamp https://t.co/eN1j7Br4GK,"Boston, MA"
837667710989369345,837667710989369345,,,RT @BiologistDan: 7130 #cheetahs left in the wild. Down 93% in only 100 yrs. The Cheetah is one of many facing #extinction! RT to support #…,"Texas, USA"
837667710007934976,837667710007934976,,,"Not listening to podcasts? Here's my favorites, especially when traveling, that you should give a go!  https://t.co/mIPxNgNucD #trypod","boston, ma"
837667709039038464,837667709039038464,,,"Major Casting News for Inhumans, the X-Men TV Show, and More https://t.co/86CEcY0IMm https://t.co/jzjXD9SGfj","Boston, MA"
837667707965358081,837667707965358081,,,RT @mikd33: @realDonaldTrump why would Jared have any business meeting with Russian ambassadors along with Flynn?,NYC
837667707050930176,837667707050930176,,,"RT @blogness: Interview with Pam Springsteen: When Springsteen is your brother, taking photos comes easy. https://t.co/iCqe9YL8L7",
837667797027155969,837667797027155969,,,"RT @DraftKings: #FreebieFriday! Enter to win $10 DK Dollars!
1. Be following @DraftKings
2. RT
Ends 3pm EST: https://t.co/o4msFaYLJP https:…","Indianapolis, IN"
837667796716777474,837667796716777474,,,Wakefield HRC to host Womens Day celebration https://t.co/gMlmOV5Vpg,"Wakefield, MA"
837667795659730944,837667795659730944,,,RT @udaqueness: https://t.co/CiiYkYPldD 주인과 함께 아일랜드 전통춤을 추는 오스트레일리안 셰퍼드 독 Secret https://t.co/7SmdaWeyoG,
837667795097759744,837667795097759744,,,The best answer I’ve ever heard to “sell me this pen” https://t.co/1KbfnAW1To #Sales https://t.co/vlrVSDaszo,"Boston, USA"
837667794443436033,837667794443436033,,,Antartica is the only continent without reptiles or snakes. #funfactfriday https://t.co/W52qnYzORS,"Waltham, MA"
837667887879946241,837667887879946241,,,RT @BUSargent: Amazing cartoonist @grahamshawdraw visited the #BU #Aphasia Community Group to demonstrate using drawing as a communication…,"New York, NY"
837667883912056834,837667883912056834,,,Tesla Drivers Are Guinea Pigs for Flawed Self-Driving Software: Owners of newer models are road-testing Tesla’s… https://t.co/vJLCCpqwiR,"Boston, MA"
837667882989412356,837667882989412356,,,RT @pymnts: How cars will become personalized digital platforms for content and services: https://t.co/y4gT5XniCo.,
837667881945030656,837667881945030656,,,"RT @Paigest123: Okay, well at the very least, I've lost the weight I'd gained since January 1st. So there's that.",A Barn
837667972546093058,837667972546093058,,,@KiingMiggy @iamkristinejhoy pagaya ng tweet mo,"Boston, MA"
837667972009328640,837667972009328640,,,RT @SasserModestino: TODAY hear about the state of women's advancement from  @randyalbelda @jladge @KarenSpilka @senjehlen @NU_PolicySchool…,Massachusetts
837667971820634118,837667971820634118,,,@MarcPDumont welcome to #Claudesworld effective but somewhat uninspiring #gobruins,"Boston, MA"
837667971786944512,837667971786944512,,,"@NEwertKrocker your flowchart lands in the ""replay Suikoden II"" more than it doesn't. Heh.","Somerville, MA"
837667971564593153,837667971564593153,,,RT @mikd33: @realDonaldTrump this one? https://t.co/J3EehiL8oL,
837668058349113344,837668058349113344,,,Designers: Robots are coming for your jobs https://t.co/63FG9pLbIu by @markrolstonargo via @FastCoDesign,"Boston, MA"
837668058164494336,837668058164494336,,,RT @Harvard: Rihanna draws a crowd in visit to accept Peter J. Gomes Humanitarian Award https://t.co/lEioDPX9Ml,Watching Disney
837668057824833537,837668057824833537,,,"RT @Bet_Labs: 81% of spread dollars were on #Warriors -7.5 vs. Bulls last night

Teams getting +75% of spread dollars are 63-106 (37%) ATS…",Santiago
837668057191448577,837668057191448577,,,RT @WitnessJaelen: My guys bouta go off,
837668056709091328,837668056709091328,,,RT @AnnaMeiler: Hernandez has arrived in court for day 3 of double murder trial. Greets defense team with smile and hugs #WBZ,Boston
837668143392677888,837668143392677888,,,RT @AnnaTaughtYou: I'm a sad bean,A hole of crippling depression
837668142444761088,837668142444761088,,,RT @RawheaD: @Temp002a そこらへんの矛盾は確かにありますね、特にヨーロッパにおけるブルカ（等）の扱いは矛盾だらけだと思っています。,ニュー速(嫌儲)
837668141840887808,837668141840887808,,,I love this man. https://t.co/U4JY8xirZq,"Boston, MA"
837668141316583424,837668141316583424,,,GOP politicians love the weak and non-binding Paris climate agreement. https://t.co/xBxFyH4nZo https://t.co/a9MDrLVkxB,"Boston, MA"
837668139890454529,837668139890454529,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,your heart
837668227333357568,837668227333357568,,,@xoChelsie thank you babe!!😘❤,"Boston, MA"
837668227111079938,837668227111079938,,,lmfaoooo https://t.co/xwibm3OpXL,"Boston, MA"
837668226456776704,837668226456776704,,,Police dogs train in style thanks to this East Bridgewater teen https://t.co/KWoV6MFBY8,"Boston, MA"
837668225932460032,837668225932460032,,,Happy Friday 🤗,Boston
837668317821218817,837668317821218817,,,"You may think everything is right as rain, but disagreements w... More for Taurus https://t.co/SM6DMaQXVk",Boston
837668317103992832,837668317103992832,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,圏外
837668317057933314,837668317057933314,,,@jokerfsm I'm actually mad at you,Boston
837668316537892864,837668316537892864,,,RT @PeteBlackburn: I am very glad I'm not the person who traded this guy https://t.co/uvHQL1xSta,space coast
837668314981806080,837668314981806080,,,❕T 구역이 CIA에 의해 재점령되었습니다.,"Boston, MA"
837668407159980033,837668407159980033,,,"RT @BostonGlobe: Hundreds chant ""Coward""’ as Paul Ryan visits Rhode Island https://t.co/yeouO9Xno1 https://t.co/TNNDZZd73k",#SneemKerryIreland
837668407067701248,837668407067701248,,,BRICS bank to lend between $2.5-3 billion in 2017: China Daily - https://t.co/otO2L7rHNc,Boston
837668406866259968,837668406866259968,,,"RT @dpakman: Mike Pence used personal email for state business, and got hacked. BUT HER EMAILS!",
837668406795055105,837668406795055105,,,@gwenabe https://t.co/XFc3tcFOy6,"Boston, MA"
837668405377261569,837668405377261569,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837668493273223168,837668493273223168,,,Starting Cold Case Files from the creators of the Jinx and I NEED it to be so so so good,Boston
837668491754885121,837668491754885121,,,@CoLiVeRiO21 👍🏻👍🏻👍🏻,"Boston, MA"
837668490400124929,837668490400124929,,,RT @iRelateWords: people who preach about being nice &amp; a good human on social media but are some of the meanest and worst people irl https:…,"Starkville, MS"
837668489997471744,837668489997471744,,,"@planetcom2017 Sorry I missed you folks at MWC, but would love to be put on a request list for review devices later in the year!","Boston, MA"
837668489942994945,837668489942994945,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,Oldenburg 
837668578983718912,837668578983718912,,,Awww the owner of bijou is so sweet and his baby &amp; dog sooooo cute 😍,"Boston, MA"
837668578082107393,837668578082107393,,,RT @mikd33: @realDonaldTrump this cabinet looks nice https://t.co/FpvFrFUZxO,Berlin
837668577486454784,837668577486454784,,,RT @4free_Ukraine: Did Trump agree to ignore Russian war in Ukraine in exchange for Russian hacked email release to WikiLeaks?  https://t.c…,
837668576240742400,837668576240742400,,,I'll come out swinging like Batman in that hair cape idc 😂😂😂😂😂😂😂 https://t.co/evB3RB9N6S,"Boston, MA"
837668574651170816,837668574651170816,,,RT @Adamtheactivist: This isn't about meeting  with ambassadors. This is about Jeff Sessions lying under oath he had no communications with…,Everywhere
837668669236916228,837668669236916228,,,"RT @OnlyInBOS: Hi.

My name is Ivan.

I'm a 10 month old kitten.

My legs are deformed but I can still love you.

I'm @MspcaAngell: adoptio…",
837668669115215872,837668669115215872,,,"RT @FTMFlip: Big Friday of footie overs...five plays, 10U. Let's do this!

https://t.co/WHfJBOcU9k https://t.co/Pq7hJ6ECE9",
837668669039775745,837668669039775745,-71.11904,42.37379,Cup #1 @ Harvard Square https://t.co/zpNJ70ghQ0,Somewhere North of Boston
837668668611813378,837668668611813378,,,RT @HarvardHealth: .@drmoniquetello firsthand experience on how to lose weight and how to keep it off.  https://t.co/FbNGjSOBa1 #HarvardHea…,"Los Angeles, CA"
837668667257143297,837668667257143297,,,@PicPublic Awwww.....cute!🙂,"Stoneham, MA"
837668756797206529,837668756797206529,,,RT @Slorider1: https://t.co/m4IJh3kWUQ,"Miami,Fl"
837668756096712706,837668756096712706,,,"RT @DraftKings: #FreebieFriday! Enter to win $10 DK Dollars!
1. Be following @DraftKings
2. RT
Ends 3pm EST: https://t.co/o4msFaYLJP https:…",
837668754284761088,837668754284761088,,,Peek inside a Beacon Hill boutique condo that sold for about $9 million this week https://t.co/AFk2IoZA3p https://t.co/ErsCAFvHyG,"Boston, MA"
837668753978576897,837668753978576897,,,@PacArtsMovement @ArlingtonFilmF Congratulations and wish you the best https://t.co/T2u783Vxuu https://t.co/zWrCpeveOT,"Arlington, MA 02476"
837668845141831680,837668845141831680,,,"RT @MirandaMerklein: Here we go, banning books 🔥Bill introduced to ban Howard Zinn books from Arkansas public schools https://t.co/hqkPzd2x…",
837668844814618624,837668844814618624,,,.@KimFergusonMA speaking about the Foundation Budget Review Commission #FBRC #MAEdu https://t.co/O71RYxtkuE,"Boston, MA 02109"
837668844592312320,837668844592312320,,,#Holbæk #whores pornstar #adultwork #swingers titjob #skypeme #nudelive fetish #kikmeboys #instahappy https://t.co/ioOElWhw0R,Boston
837668844483248132,837668844483248132,,,I declare the Autumn of 2017 in the USA be called #ApplejackAutumn .... https://t.co/cobYTRrcuq,Somewhere near Boston
837668844281933824,837668844281933824,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,Paradise
837668932072792065,837668932072792065,,,Your message is not getting heard by your peers today even whe... More for Capricorn https://t.co/94PRiE5COI,Boston
837668930344865793,837668930344865793,,,"RT @OnlyInBOS: Hi.

My name is Ivan.

I'm a 10 month old kitten.

My legs are deformed but I can still love you.

I'm @MspcaAngell: adoptio…",
837668929472462849,837668929472462849,,,About that BIRTHDAY Weekend LYFE (knocking on 44) https://t.co/66mlLGmBov,"Boston, MA"
837668929225035776,837668929225035776,,,"Give them ""what they need, when they need it” Dean Courtney on unbundling degrees https://t.co/VNywE0zG0a @BizEdMag https://t.co/jfMMPNUbZo","Boston, MA"
837668928671387650,837668928671387650,,,"RT @JP_NDC: We NEED everyone to come out to demand housing stability in Boston on Monday, March 6th at 10am.
https://t.co/nQo2U4WRzH #right…","Roslindale, Boston"
837669020878925824,837669020878925824,,,the circle of trust gets smaller and smaller when you start to feel like a damn pin cushion,"Boston, Massachusetts"
837669019679281152,837669019679281152,,,"RT @4free_Ukraine: ""I wasn't involved in that,"" Trump said. ""Honestly, I was not involved."" Except now advisor JD Gordon says he was. https…","Hailey, ID"
837669018530103296,837669018530103296,,,@RunJohnBoyRun @BRM26pt2 @RunFlyingPig Blue Ridge is a tough one! Are you including lots of hill training?,"Boston, MA"
837669018467119105,837669018467119105,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837669018249101313,837669018249101313,,,@Paigest123 that is a great pic!,"Boston, Ma."
837669113552076802,837669113552076802,,,"RT @TCleveland4Real: Video of Trump on GOP platform change, which Gordon now admits. https://t.co/iSgnXVZZdT",United States
837669112948142082,837669112948142082,,,"RT @ClintSmithIII: Most of the people helping fugitive slaves weren't well-meaning white abolitionists, but were actually other escaped sla…",Stuck in The Matrix Beta Test
837669109949149184,837669109949149184,,,"La Cuaresma se identifica con el color morado, el cual es el símbolo de penitencia y arrepentimiento. #Yucuaiquín https://t.co/R5zUPBNysV",Boston
837669108346945536,837669108346945536,,,@Norsemen83 - they all interacted with Russian officials during the campaign and are being actively investigated by the FBI,"Boston, MA"
837669108040757248,837669108040757248,,,RT @princessmom122: We knew it was something like this. https://t.co/kxIyUgpP3w,
837669197580812288,837669197580812288,,,RT @mikd33: @realDonaldTrump this cabinet looks nice https://t.co/FpvFrFUZxO,
837669196787937280,837669196787937280,,,RT @Earthy_Earth: เธอเปลี่ยนไปแล้ว ไม่ใช่คนที่ฉันรักอีกต่อไป เธอเปลี่ยนไปแล้ว ทั้งตัวและหัวใจ...,line: janeptp
837669194737020928,837669194737020928,,,"RT @DraftKings: #FreebieFriday! Enter to win $10 DK Dollars!
1. Be following @DraftKings
2. RT
Ends 3pm EST: https://t.co/o4msFaYLJP https:…",
837669194653134848,837669194653134848,,,"RT @ryguybrown: Hey @davidortiz, do us all a favor and go teach @michaud_ethan 's class so he can stop tweeting about it #ProfessorPapi htt…","Boston, MA"
837669193738768387,837669193738768387,,,For a limited time only: download this NEA article on repairing Egyptian vessels for free! https://t.co/rVncWrl5Wh… https://t.co/aDLGOnOQKr,"Boston, MA"
837669288530034688,837669288530034688,,,"RT @Rbrutti: 1st tavern in US was opened 383 years ago today by Samuel Cole in Boston the Three Mariners on Washington St.
https://t.co/dZ4…",Massachusetts USA
837669288253149185,837669288253149185,,,You can hardly wait to get together with friends or family to ... More for Cancer https://t.co/GwrPimUov2,Boston
837669287615660032,837669287615660032,,,"RT @BartonTheFox: Happy #FursuitFriday!

📍: Nickerson State Park
📷: @tylermuse10 https://t.co/o1OGoHAX7Q","Boston, MA"
837669286856519684,837669286856519684,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837669286827163648,837669286827163648,,,RT @GelesisInc: New data: Administration of Gelesis200 increases fullness &amp; satiety in people who have obesity/overweight #OW2016  https://…,"Hampton Bays, NY"
837669371354972163,837669371354972163,,,RT @MassDHE: Congrats @BridgeStateU College of Education for winning @AACTE 'Best of Global Learning' award! https://t.co/JSlO4w8iCQ https:…,"Bridgewater, MA"
837669370314764288,837669370314764288,,,Happy Friday everyone!,"Boston, MA"
837669368808996864,837669368808996864,,,RT @celtics: 📍LA https://t.co/1arhF9Mcg5,
837669368322539520,837669368322539520,,,"RT @Become_The_Lion: Everyone who is successful today, all started with a dream. https://t.co/gLSz4qkvQQ","New York, NY"
837669368167337984,837669368167337984,,,Watch the Monster Strike anime on YouTube! #MonsterStrike https://t.co/2KKPZo6vo9,boston
837669465579991046,837669465579991046,,,RT @OnlyInBOS: One month from today is @RedSox #OpeningDay. Let that sink in... https://t.co/ca0JPSVpvB,"Grafton, Massachusetts"
837669464833470464,837669464833470464,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837669463839363072,837669463839363072,,,"RT @ClintSmithIII: Even when they reached the North, most slaves weren't welcomed w/open arms. Majority of northerners didn't support the U…","Oakcliff, TX"
837669463101222913,837669463101222913,,,"@lets_experiment @siegel_justin mmmmmmmmm, I gotta drop by !!","Boston, MA"
837669462589452288,837669462589452288,,,"RT @Wilde_Agency: As humans, we prefer simplicity over complexity. Here are 5 ways to optimize your copy/design for cognitive fluency: http…",
837669553056403458,837669553056403458,,,I want to go hang out with the happy people on Okinawa-you can even drive in the ocean! https://t.co/7gPledK3Qh,"Arlington, MA"
837669551378739200,837669551378739200,,,RT @chrisbrogan: I'm in no way a visionary nor do I ever say that I am. But I'm paying a LOT of attention to voice interfaces for bus…https…,
837669550627950593,837669550627950593,,,"@leighalexander Thanks, Obama.","Somerville, MA, USA"
837669550560800771,837669550560800771,,,"RT @techreview: Meet the Automatons, the ancestors of current robots https://t.co/yGSDwMPKCD (Partner content via @bbvaOpenMind) https://t.…","Brooklyn, NY"
837669550468575236,837669550468575236,,,"RT @BostonGlobe: Hundreds chant ""Coward""’ as Paul Ryan visits Rhode Island https://t.co/yeouO9Xno1 https://t.co/TNNDZZd73k","Boston, Massachusetts"
837669637676494848,837669637676494848,,,RT @TanvirSalim1: Yogi has done nothing for Poorvanchal (Eastern UP). Name two development work. https://t.co/T6z2nV7dAN,"Boston, USA"
837669636447547392,837669636447547392,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837669635122065413,837669635122065413,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,忌葬社
837669633482186754,837669633482186754,,,Flashback: Chuck Schumer Meets with Putin in New York City - https://t.co/iPDdhWQkP5,Boston
837669633268273152,837669633268273152,,,Taking home Gold at the Stevie Awards - well done Seismic Software https://t.co/yMZQcsMfSd,"Boston, MA"
837669724494397440,837669724494397440,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,SC
837669723647184897,837669723647184897,,,RT @Acronis: NEWS! #PHP has become the first #programming language to add the Libsodium library to its core! Via @BleepinComputer https://t…,USA
837669723617837056,837669723617837056,,,RT @JulieRi39597096: @JonesTeena @mayanderson64 @beckaa_r22 @a1_reid Thanks friend! I will do ok I hope! 💕👍🌹💖,"Hades Hotel, Room 369"
837669722820792320,837669722820792320,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,日本
837669719222140929,837669719222140929,,,RT @Wellesley_News: Clinton said one of her favorite moments in the election was when Trump accused her of preparing for the debate,
837669809420709888,837669809420709888,,,RT @techreview: New Facebook tools allow viewers to report Facebook Live broadcasts that seem to be veering toward suicide attempts. https:…,"Brooklyn, NY"
837669809286328321,837669809286328321,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,.              moon▽
837669807289958400,837669807289958400,,,RT @ValaAfshar: Your culture is your brand.,Pune
837669806476251136,837669806476251136,,,Good luck this weekend @FRC3958 Hard work pays off. #omgrobots https://t.co/gPMStUPoDi,"Boston, MA"
837669806350417924,837669806350417924,,,Interesting take: How Trump is changing sportswriting https://t.co/ioeWnBFgXG #journalism #media @benmullin,"Boston, Massachusetts"
837669907202375680,837669907202375680,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,東京 神奈川
837669906795663360,837669906795663360,,,"But I hear sounds in my mind
Brand new sounds in my mind","Salem, MA"
837669904807510016,837669904807510016,,,Sameeee https://t.co/OzIrEnyUGs,
837669903394033664,837669903394033664,,,"RT @NECN: Hundreds chanted ""coward"" at Paul Ryan during a visit to Rhode Island. https://t.co/Tq796pFfq8","Massachusetts, USA"
837670004006907904,837670004006907904,,,"#Breaking_News 69 Cock Lane is yours for £449,950, but is it Britain's naughtiest address? https://t.co/GPtgjtetP7… https://t.co/Ph93xgFzHq","Boston,USA"
837670003872776193,837670003872776193,,,https://t.co/RDEai0IT3S,"Boston, MA"
837670003423891457,837670003423891457,,,Found 3 new unfollowers via https://t.co/xAAyl5p4Gw,"Boston, MA"
837670001666486273,837670001666486273,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,sw|mcu|multifandom
837670088333381632,837670088333381632,,,RT @WrldHealthcare: Collaborate with health care stakeholders to align adherence efforts for maximized health outcomes https://t.co/G2scmHY…,USA
837670087611969540,837670087611969540,,,@Melissa_Reaver Why do I feel like you'd rather have my partner? 🤔,"Boston, MA"
