tweet_id,lat,lon,content,location
8.37857E+17,,,So Trump's attempt to pass the buck for Yemen to Obama was just a cowardly lie. What a loser! https://t.co/1Y993p1eho,
8.37456E+17,,,The whole Trump family is turning dad's electoral College win into a gross money machine. https://t.co/NHe4Too48B,
8.38005E+17,,,1/ Trump tries to take our eyes off how he &amp; Putin tilted our election by making up wild stuff re Obama hacking Trump Tower pre-Nov 8! Not,
8.38023E+17,-71.0552516,42.3561185,Trump alleges Obama had Trump phones wiretapped during race https://t.co/Yjc79WhmXr,"Boston, MA"
8.38023E+17,-71.0552516,42.3561185,President Trump alleged on Twitter on Saturday morning that President Obama tapped his phones before the election.â€_ https://t.co/Yjc79WhmXr,"Boston, MA"
8.38023E+17,,,Donald Trump is bad for business.,Greater Boston Area
8.38024E+17,,,I just feel like President Trump is beyond insane. Deranged? https://t.co/uA7aLeObkX,"Washington, DC"
8.38024E+17,,,"At some point - mark my words - the defense in depth will be: yes, yes, Russia tried to influence our election, butâ€_ https://t.co/9pgD1m4GPm","Cambridge, MA"
8.38024E+17,,,"I think we all knew ""Presidential Trump"" was just a mirage. https://t.co/Ag5d9yPXdd","Boston, MA"
8.38026E+17,,,Second episode - âù__Ÿ‘ç_Ÿè_Awesome ministry! @jesuiticalshow : Being Undocumented in Donald Trumpâ€™s America. Ep: 2 https://t.co/Y0tQW4ofPs,"Boston, MA"
8.38026E+17,,,@realDonaldTrump @Schwarzenegger Look like Trump doesn't believe your entirely plausible reasons for leaving @ApprenticeNBC,
8.38026E+17,,,Anyone want to gamble that  China DIDN'T help fund Xiao Yan (Angela) Chen's purchase of $15.8M Trump Tower penthouse from POTUS? @NormEisen,